Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,P Pitching Outs,Batter H/PA,Pitcher H/PA,Against H/PA,Batter Pitcher Matchup H/PA
Matt Olson,Bradley Blalock,Right,Home,4,Left,nan,0.21,0.22,0,0.22
Travis d'Arnaud,Bradley Blalock,Right,Home,5,Right,nan,0.22,0.25,0,0.23
Whit Merrifield,Bradley Blalock,Right,Home,6,Right,nan,0.2,0.25,0,0.22
Jarred Kelenic,Bradley Blalock,Right,Home,7,Left,nan,0.22,0.22,0,0.22
Orlando Arcia,Bradley Blalock,Right,Home,8,Right,nan,0.19,0.25,0,0.22
Gio Urshela,Bradley Blalock,Right,Home,9,Right,nan,0.26,0.25,0,0.26
Masyn Winn,Colin Rea,Right,Away,1,Right,5.83,0.27,0.23,0.33,0.25
Alec Burleson,Colin Rea,Right,Away,2,Left,5.83,0.24,0.23,0.0,0.23
Nolan Arenado,Colin Rea,Right,Away,3,Right,5.83,0.24,0.23,0.0,0.22
Brendan Donovan,Colin Rea,Right,Away,4,Left,5.83,0.24,0.23,0.33,0.23
Paul Goldschmidt,Colin Rea,Right,Away,5,Right,5.83,0.28,0.23,0.2,0.25
Lars Nootbaar,Colin Rea,Right,Away,6,Left,5.83,0.24,0.23,0.4,0.24
Jordan Walker,Colin Rea,Right,Away,7,Right,5.83,0.24,0.23,0.0,0.23
Ivan Herrera,Colin Rea,Right,Away,8,Right,5.83,0.26,0.23,0,0.25
Michael Siani,Colin Rea,Right,Away,9,Left,5.83,0.24,0.23,0.5,0.24
Brice Turang,Sonny Gray,Right,Home,1,Left,5.83,0.21,0.25,0.33,0.23
Jackson Chourio,Sonny Gray,Right,Home,2,Right,5.83,0.26,0.24,0.0,0.24
William Contreras,Sonny Gray,Right,Home,3,Right,5.83,0.21,0.24,0.33,0.23
Jake Bauers,Sonny Gray,Right,Home,4,Left,5.83,0.13,0.25,0.33,0.2
Willy Adames,Sonny Gray,Right,Home,5,Right,5.83,0.23,0.24,0.28,0.24
Garrett Mitchell,Sonny Gray,Right,Home,6,Left,5.83,0.23,0.25,0,0.24
Rhys Hoskins,Sonny Gray,Right,Home,7,Right,5.83,0.15,0.24,0.27,0.2
Sal Frelick,Sonny Gray,Right,Home,8,Left,5.83,0.27,0.25,0.0,0.25
Joey Ortiz,Sonny Gray,Right,Home,9,Right,5.83,0.19,0.24,0.25,0.22
Steven Kwan,Seth Lugo,Right,Away,1,Left,6.17,0.2,0.24,0.4,0.23
Andres Gimenez,Seth Lugo,Right,Away,2,Left,6.17,0.21,0.24,0.0,0.22
Jose Ramirez,Seth Lugo,Right,Away,3,Both,6.17,0.21,0.24,0.14,0.22
Josh Naylor,Seth Lugo,Right,Away,4,Left,6.17,0.21,0.24,0.33,0.23
Jhonkensy Noel,Seth Lugo,Right,Away,5,Right,6.17,0.23,0.23,0.0,0.23
Kyle Manzardo,Seth Lugo,Right,Away,6,Left,6.17,0.31,0.24,0.0,0.27
Lane Thomas,Seth Lugo,Right,Away,7,Right,6.17,0.22,0.23,0.14,0.23
Bo Naylor,Seth Lugo,Right,Away,8,Left,6.17,0.22,0.24,1.0,0.24
Brayan Rocchio,Seth Lugo,Right,Away,9,Both,6.17,0.2,0.24,0.0,0.22
Tommy Pham,Ben Lively,Right,Home,1,Right,5.83,0.24,0.21,0.33,0.23
Bobby Witt Jr,Ben Lively,Right,Home,2,Right,5.83,0.28,0.21,0.5,0.25
Michael Massey,Ben Lively,Right,Home,3,Left,5.83,0.22,0.19,0.0,0.2
