Batter,Opposing Team,Batter Location,Batter Spot,Against PA,Against H,T Recent PA,T Recent H,Opposing Pitcher,Throw,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H,B Recent H,B Recent PA
Jake Fraley,Astros,Home,7,15,4,212,36,Spencer Arrighetti,Right,Left,0,0,258.0,64,128.0,33,303.0,76,537.0,114,303,65,299.0,60,18,4,2.0,13.0
Santiago Espinal,Astros,Home,8,26,4,212,36,Spencer Arrighetti,Right,Right,0,0,190.0,46,168.0,45,305.0,77,537.0,114,303,65,238.0,54,18,4,16.0,50.0
Amed Rosario,Astros,Home,9,46,9,212,36,Spencer Arrighetti,Right,Right,0,0,200.0,56,171.0,43,316.0,91,537.0,114,303,65,238.0,54,18,4,7.0,30.0
Dylan Crews,Marlins,Away,1,5,1,222,51,Valente Bellozo,Right,Right,0,0,19.0,3,5.0,1,31.0,7,179.0,41,72,19,100.0,25,24,7,7.0,32.0
Jose Tena,Marlins,Away,2,5,0,222,51,Valente Bellozo,Right,Left,0,0,52.0,16,32.0,8,74.0,21,179.0,41,72,19,79.0,16,24,7,14.0,55.0
Andres Chaparro,Marlins,Away,3,5,1,222,51,Valente Bellozo,Right,Right,0,0,43.0,9,41.0,10,70.0,16,179.0,41,72,19,100.0,25,24,7,10.0,48.0
James Wood,Marlins,Away,4,6,1,222,51,Valente Bellozo,Right,Left,0,0,141.0,32,96.0,25,233.0,55,179.0,41,72,19,79.0,16,24,7,11.0,63.0
Luis Garcia Jr,Marlins,Away,5,20,4,222,51,Valente Bellozo,Right,Left,0,0,362.0,102,231.0,53,459.0,126,179.0,41,72,19,79.0,16,24,7,10.0,43.0
Joey Gallo,Marlins,Away,6,13,1,222,51,Valente Bellozo,Right,Left,0,0,143.0,23,103.0,12,198.0,29,179.0,41,72,19,79.0,16,24,7,6.0,39.0
CJ Abrams,Marlins,Away,7,18,2,222,51,Valente Bellozo,Right,Left,0,0,378.0,75,291.0,66,553.0,121,179.0,41,72,19,79.0,16,24,7,8.0,49.0
Keibert Ruiz,Marlins,Away,8,16,4,222,51,Valente Bellozo,Right,Both,0,0,293.0,64,194.0,39,400.0,85,179.0,41,72,19,179.0,41,24,7,8.0,45.0
Jacob Young,Marlins,Away,9,8,5,222,51,Valente Bellozo,Right,Right,0,0,307.0,71,229.0,59,440.0,106,179.0,41,72,19,100.0,25,24,7,16.0,50.0
Xavier Edwards,Nationals,Home,1,7,0,194,49,MacKenzie Gore,Left,Both,0,0,62.0,16,116.0,32,203.0,60,617.0,158,260,65,617.0,158,50,17,4.0,15.0
Connor Norby,Nationals,Home,2,4,2,194,49,MacKenzie Gore,Left,Right,0,0,29.0,9,43.0,12,89.0,23,617.0,158,260,65,463.0,116,50,17,16.0,58.0
Jake Burger,Nationals,Home,3,29,8,194,49,MacKenzie Gore,Left,Right,3,1,152.0,32,245.0,51,478.0,109,617.0,158,260,65,463.0,116,50,17,11.0,56.0
Jonah Bride,Nationals,Home,4,7,1,194,49,MacKenzie Gore,Left,Right,0,0,63.0,12,76.0,17,169.0,37,617.0,158,260,65,463.0,116,50,17,,
Otto Lopez,Nationals,Home,5,13,3,194,49,MacKenzie Gore,Left,Right,3,0,101.0,22,167.0,40,335.0,77,617.0,158,260,65,463.0,116,50,17,14.0,61.0
Cristian Pache,Nationals,Home,6,13,3,194,49,MacKenzie Gore,Left,Right,6,1,110.0,21,73.0,13,155.0,28,617.0,158,260,65,463.0,116,50,17,4.0,19.0
David Hensley,Nationals,Home,7,2,0,194,49,MacKenzie Gore,Left,Right,0,0,30.0,7,16.0,4,43.0,10,617.0,158,260,65,463.0,116,50,17,8.0,26.0
Kyle Stowers,Nationals,Home,8,4,0,194,49,MacKenzie Gore,Left,Left,0,0,20.0,2,66.0,14,140.0,30,617.0,158,260,65,154.0,42,50,17,11.0,46.0
