Batter,Opposing Pitcher,Opposing Team,Throw,Batter Location,Batter Spot,AB,H,XBH,RBI,BB,K,AVG,OBP,SLG,OPS
Masataka Yoshida,Tylor Megill,Mets,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Connor Wong,Tylor Megill,Mets,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Enmanuel Valdez,Tylor Megill,Mets,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Ceddanne Rafaela,Tylor Megill,Mets,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Francisco Lindor,Tanner Houck,Red Sox,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Brandon Nimmo,Tanner Houck,Red Sox,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mark Vientos,Tanner Houck,Red Sox,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pete Alonso,Tanner Houck,Red Sox,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jesse Winker,Tanner Houck,Red Sox,Right,Home,5,4,1,0,0,0,0,0.25,0.25,0.25,0.5
Starling Marte,Tanner Houck,Red Sox,Right,Home,6,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Jose Iglesias,Tanner Houck,Red Sox,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jeff McNeil,Tanner Houck,Red Sox,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Francisco Alvarez,Tanner Houck,Red Sox,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Charlie Blackmon,Charlie Morton,Braves,Right,Away,1,17,4,0,0,2,5,0.235,0.381,0.235,0.616
Ezequiel Tovar,Charlie Morton,Braves,Right,Away,2,6,1,0,0,0,2,0.167,0.167,0.167,0.333
Ryan McMahon,Charlie Morton,Braves,Right,Away,3,12,3,1,4,1,3,0.25,0.286,0.5,0.786
Brenton Doyle,Charlie Morton,Braves,Right,Away,4,4,1,0,1,0,0,0.25,0.25,0.25,0.5
Brendan Rodgers,Charlie Morton,Braves,Right,Away,5,6,3,2,4,0,0,0.5,0.5,1.167,1.667
Michael Toglia,Charlie Morton,Braves,Right,Away,6,2,0,0,0,0,1,0.0,0.0,0.0,0.0
Nolan Jones,Charlie Morton,Braves,Right,Away,7,4,0,0,0,0,4,0.0,0.333,0.0,0.333
Jordan Beck,Charlie Morton,Braves,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Drew Romo,Charlie Morton,Braves,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michael Harris II,Bradley Blalock,Rockies,Right,Home,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jorge Soler,Bradley Blalock,Rockies,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Marcell Ozuna,Bradley Blalock,Rockies,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Matt Olson,Bradley Blalock,Rockies,Right,Home,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Travis d'Arnaud,Bradley Blalock,Rockies,Right,Home,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Whit Merrifield,Bradley Blalock,Rockies,Right,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Jarred Kelenic,Bradley Blalock,Rockies,Right,Home,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Orlando Arcia,Bradley Blalock,Rockies,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Gio Urshela,Bradley Blalock,Rockies,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Masyn Winn,Colin Rea,Brewers,Right,Away,1,5,2,1,0,1,3,0.4,0.5,0.6,1.1
Alec Burleson,Colin Rea,Brewers,Right,Away,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Nolan Arenado,Colin Rea,Brewers,Right,Away,3,8,0,0,0,2,0,0.0,0.2,0.0,0.2
Brendan Donovan,Colin Rea,Brewers,Right,Away,4,3,1,0,0,0,1,0.333,0.333,0.333,0.667
Paul Goldschmidt,Colin Rea,Brewers,Right,Away,5,8,2,1,0,2,1,0.25,0.4,0.375,0.775
Lars Nootbaar,Colin Rea,Brewers,Right,Away,6,4,2,0,0,1,0,0.5,0.6,0.5,1.1
Jordan Walker,Colin Rea,Brewers,Right,Away,7,2,0,0,0,0,1,0.0,0.0,0.0,0.0
Ivan Herrera,Colin Rea,Brewers,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michael Siani,Colin Rea,Brewers,Right,Away,9,1,1,0,0,1,0,1.0,1.0,1.0,2.0
Brice Turang,Sonny Gray,Cardinals,Right,Home,1,6,2,0,0,0,1,0.333,0.333,0.333,0.667
Jackson Chourio,Sonny Gray,Cardinals,Right,Home,2,2,0,0,0,0,2,0.0,0.0,0.0,0.0
William Contreras,Sonny Gray,Cardinals,Right,Home,3,6,2,0,0,0,1,0.333,0.333,0.333,0.667
Jake Bauers,Sonny Gray,Cardinals,Right,Home,4,6,2,2,2,0,1,0.333,0.333,1.0,1.333
Willy Adames,Sonny Gray,Cardinals,Right,Home,5,12,5,2,2,6,4,0.417,0.611,0.75,1.361
Garrett Mitchell,Sonny Gray,Cardinals,Right,Home,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
