Batter,Opposing Pitcher,Opposing Team,Throw,Batter Location,Batter Spot,AB,H,XBH,RBI,BB,K,AVG,OBP,SLG,OPS
Christian Walker,Hayden Birdsong,Giants,Right,Away,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pavin Smith,Hayden Birdsong,Giants,Right,Away,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Adrian Del Castillo,Hayden Birdsong,Giants,Right,Away,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Eugenio Suarez,Hayden Birdsong,Giants,Right,Away,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Luis Guillorme,Hayden Birdsong,Giants,Right,Away,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Geraldo Perdomo,Hayden Birdsong,Giants,Right,Away,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mike Yastrzemski,Zac Gallen,Diamondbacks,Right,Home,1,23,7,3,5,3,7,0.304,0.393,0.435,0.828
Tyler Fitzgerald,Zac Gallen,Diamondbacks,Right,Home,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Heliot Ramos,Zac Gallen,Diamondbacks,Right,Home,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Michael Conforto,Zac Gallen,Diamondbacks,Right,Home,4,18,5,2,3,2,3,0.278,0.35,0.5,0.85
Matt Chapman,Zac Gallen,Diamondbacks,Right,Home,5,7,0,0,0,0,2,0.0,0.0,0.0,0.0
LaMonte Wade Jr,Zac Gallen,Diamondbacks,Right,Home,6,24,6,1,2,3,9,0.25,0.333,0.333,0.667
Patrick Bailey,Zac Gallen,Diamondbacks,Right,Home,7,5,3,2,3,0,2,0.6,0.6,1.4,2.0
Marco Luciano,Zac Gallen,Diamondbacks,Right,Home,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Grant McCray,Zac Gallen,Diamondbacks,Right,Home,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0
