Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,Batting Orientation,B Against PA,B Against H,B Throw PA,B Throw H,B Location PA,B Location H,B Season PA,B Season H,P Season PA,P Season H,P Location PA,P Location H,P Throw PA,P Throw H,P Recent PA,P Recent H
Spencer Steer,Spencer Arrighetti,Right,Home,5,Right,0,0,409.0,86,296.0,57,564.0,116,537.0,114,303,65,238.0,54,18,4
Ty France,Spencer Arrighetti,Right,Home,6,Right,3,1,326.0,67,221.0,50,444.0,94,537.0,114,303,65,238.0,54,18,4
Jake Fraley,Spencer Arrighetti,Right,Home,7,Left,0,0,258.0,64,128.0,33,303.0,76,537.0,114,303,65,299.0,60,18,4
Santiago Espinal,Spencer Arrighetti,Right,Home,8,Right,0,0,190.0,46,168.0,45,305.0,77,537.0,114,303,65,238.0,54,18,4
Amed Rosario,Spencer Arrighetti,Right,Home,9,Right,0,0,200.0,56,171.0,43,316.0,91,537.0,114,303,65,238.0,54,18,4
Dylan Crews,Valente Bellozo,Right,Away,1,Right,0,0,19.0,3,5.0,1,31.0,7,179.0,41,72,19,100.0,25,24,7
Jose Tena,Valente Bellozo,Right,Away,2,Left,0,0,52.0,16,32.0,8,74.0,21,179.0,41,72,19,79.0,16,24,7
Andres Chaparro,Valente Bellozo,Right,Away,3,Right,0,0,43.0,9,41.0,10,70.0,16,179.0,41,72,19,100.0,25,24,7
James Wood,Valente Bellozo,Right,Away,4,Left,0,0,141.0,32,96.0,25,233.0,55,179.0,41,72,19,79.0,16,24,7
Luis Garcia Jr,Valente Bellozo,Right,Away,5,Left,0,0,362.0,102,231.0,53,459.0,126,179.0,41,72,19,79.0,16,24,7
Joey Gallo,Valente Bellozo,Right,Away,6,Left,0,0,143.0,23,103.0,12,198.0,29,179.0,41,72,19,79.0,16,24,7
CJ Abrams,Valente Bellozo,Right,Away,7,Left,0,0,378.0,75,291.0,66,553.0,121,179.0,41,72,19,79.0,16,24,7
Keibert Ruiz,Valente Bellozo,Right,Away,8,Both,0,0,293.0,64,194.0,39,400.0,85,179.0,41,72,19,179.0,41,24,7
Jacob Young,Valente Bellozo,Right,Away,9,Right,0,0,307.0,71,229.0,59,440.0,106,179.0,41,72,19,100.0,25,24,7
Xavier Edwards,MacKenzie Gore,Left,Home,1,Both,0,0,62.0,16,116.0,32,203.0,60,617.0,158,260,65,617.0,158,50,17
Connor Norby,MacKenzie Gore,Left,Home,2,Right,0,0,29.0,9,43.0,12,89.0,23,617.0,158,260,65,463.0,116,50,17
Jake Burger,MacKenzie Gore,Left,Home,3,Right,3,1,152.0,32,245.0,51,478.0,109,617.0,158,260,65,463.0,116,50,17
Jonah Bride,MacKenzie Gore,Left,Home,4,Right,0,0,63.0,12,76.0,17,169.0,37,617.0,158,260,65,463.0,116,50,17
Otto Lopez,MacKenzie Gore,Left,Home,5,Right,3,0,101.0,22,167.0,40,335.0,77,617.0,158,260,65,463.0,116,50,17
Cristian Pache,MacKenzie Gore,Left,Home,6,Right,6,1,110.0,21,73.0,13,155.0,28,617.0,158,260,65,463.0,116,50,17
David Hensley,MacKenzie Gore,Left,Home,7,Right,0,0,30.0,7,16.0,4,43.0,10,617.0,158,260,65,463.0,116,50,17
Kyle Stowers,MacKenzie Gore,Left,Home,8,Left,0,0,20.0,2,66.0,14,140.0,30,617.0,158,260,65,154.0,42,50,17
Nick Fortes,MacKenzie Gore,Left,Home,9,Right,3,1,75.0,14,129.0,25,259.0,56,617.0,158,260,65,463.0,116,50,17
Jarren Duran,Tylor Megill,Right,Away,1,Left,0,0,429.0,122,329.0,87,628.0,168,231.0,50,145,29,117.0,26,25,5
Wilyer Abreu,Tylor Megill,Right,Away,2,Left,0,0,316.0,81,180.0,42,371.0,90,231.0,50,145,29,117.0,26,25,5
Tyler O'Neill,Tylor Megill,Right,Away,3,Right,2,1,256.0,53,204.0,51,395.0,88,231.0,50,145,29,114.0,24,25,5
Rafael Devers,Tylor Megill,Right,Away,4,Left,0,0,336.0,89,281.0,66,533.0,132,231.0,50,145,29,117.0,26,25,5
Triston Casas,Tylor Megill,Right,Away,5,Left,0,0,116.0,26,94.0,20,165.0,36,231.0,50,145,29,117.0,26,25,5
Masataka Yoshida,Tylor Megill,Right,Away,6,Left,0,0,258.0,75,178.0,45,353.0,92,231.0,50,145,29,117.0,26,25,5
Connor Wong,Tylor Megill,Right,Away,7,Right,0,0,272.0,70,220.0,58,409.0,106,231.0,50,145,29,114.0,24,25,5
Enmanuel Valdez,Tylor Megill,Right,Away,8,Left,0,0,156.0,35,98.0,15,189.0,38,231.0,50,145,29,117.0,26,25,5
Ceddanne Rafaela,Tylor Megill,Right,Away,9,Right,0,0,366.0,92,258.0,65,504.0,122,231.0,50,145,29,114.0,24,25,5
Francisco Lindor,Tanner Houck,Right,Home,1,Both,0,0,470.0,115,308.0,72,630.0,155,684.0,146,291,60,684.0,146,29,7
Brandon Nimmo,Tanner Houck,Right,Home,2,Left,0,0,426.0,77,281.0,49,566.0,111,684.0,146,291,60,363.0,69,29,7
Mark Vientos,Tanner Houck,Right,Home,3,Right,0,0,246.0,56,178.0,44,356.0,92,684.0,146,291,60,321.0,77,29,7
