Batter,Opposing Pitcher,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Francisco Alvarez,Tanner Houck,Red Sox,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Charlie Blackmon,Charlie Morton,Braves,Away,1,17,4,0,0,0,0,2,5,.235,.381,.235,.616
Ezequiel Tovar,Charlie Morton,Braves,Away,2,6,1,0,0,0,0,0,2,.167,.167,.167,.333
Ryan McMahon,Charlie Morton,Braves,Away,3,12,3,0,0,1,4,1,3,.250,.286,.500,.786
Brenton Doyle,Charlie Morton,Braves,Away,4,4,1,0,0,0,1,0,0,.250,.250,.250,.500
Brendan Rodgers,Charlie Morton,Braves,Away,5,6,3,1,0,1,4,0,0,.500,.500,1.167,1.667
Michael Toglia,Charlie Morton,Braves,Away,6,2,0,0,0,0,0,0,1,.000,.000,.000,.000
Nolan Jones,Charlie Morton,Braves,Away,7,4,0,0,0,0,0,0,4,.000,.333,.000,.333
Jordan Beck,Charlie Morton,Braves,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Drew Romo,Charlie Morton,Braves,Away,9,0,0,0,0,0,0,0,0,0,0,0,0
Michael Harris II,Bradley Blalock,Rockies,Home,1,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Soler,Bradley Blalock,Rockies,Home,2,0,0,0,0,0,0,0,0,0,0,0,0
Marcell Ozuna,Bradley Blalock,Rockies,Home,3,0,0,0,0,0,0,0,0,0,0,0,0
Matt Olson,Bradley Blalock,Rockies,Home,4,0,0,0,0,0,0,0,0,0,0,0,0
Travis d'Arnaud,Bradley Blalock,Rockies,Home,5,0,0,0,0,0,0,0,0,0,0,0,0
Whit Merrifield,Bradley Blalock,Rockies,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Jarred Kelenic,Bradley Blalock,Rockies,Home,7,0,0,0,0,0,0,0,0,0,0,0,0
Orlando Arcia,Bradley Blalock,Rockies,Home,8,0,0,0,0,0,0,0,0,0,0,0,0
Gio Urshela,Bradley Blalock,Rockies,Home,9,0,0,0,0,0,0,0,0,0,0,0,0
Masyn Winn,Colin Rea,Brewers,Away,1,5,2,1,0,0,0,1,3,.400,.500,.600,1.100
Alec Burleson,Colin Rea,Brewers,Away,2,2,0,0,0,0,0,0,0,.000,.000,.000,.000
Nolan Arenado,Colin Rea,Brewers,Away,3,8,0,0,0,0,0,2,0,.000,.200,.000,.200
Brendan Donovan,Colin Rea,Brewers,Away,4,3,1,0,0,0,0,0,1,.333,.333,.333,.667
Paul Goldschmidt,Colin Rea,Brewers,Away,5,8,2,1,0,0,0,2,1,.250,.400,.375,.775
Lars Nootbaar,Colin Rea,Brewers,Away,6,4,2,0,0,0,0,1,0,.500,.600,.500,1.100
Jordan Walker,Colin Rea,Brewers,Away,7,2,0,0,0,0,0,0,1,.000,.000,.000,.000
Ivan Herrera,Colin Rea,Brewers,Away,8,0,0,0,0,0,0,0,0,0,0,0,0
Michael Siani,Colin Rea,Brewers,Away,9,1,1,0,0,0,0,1,0,1.000,1.000,1.000,2.000
Brice Turang,Sonny Gray,Cardinals,Home,1,6,2,0,0,0,0,0,1,.333,.333,.333,.667
Jackson Chourio,Sonny Gray,Cardinals,Home,2,2,0,0,0,0,0,0,2,.000,.000,.000,.000
William Contreras,Sonny Gray,Cardinals,Home,3,6,2,0,0,0,0,0,1,.333,.333,.333,.667
Jake Bauers,Sonny Gray,Cardinals,Home,4,6,2,1,0,1,2,0,1,.333,.333,1.000,1.333
Willy Adames,Sonny Gray,Cardinals,Home,5,12,5,1,0,1,2,6,4,.417,.611,.750,1.361
Garrett Mitchell,Sonny Gray,Cardinals,Home,6,0,0,0,0,0,0,0,0,0,0,0,0
Rhys Hoskins,Sonny Gray,Cardinals,Home,7,15,4,2,0,1,6,0,6,.267,.267,.600,.867
Sal Frelick,Sonny Gray,Cardinals,Home,8,5,0,0,0,0,0,0,2,.000,.167,.000,.167
Joey Ortiz,Sonny Gray,Cardinals,Home,9,3,1,0,0,1,1,1,1,.333,.500,1.333,1.833
Steven Kwan,Seth Lugo,Royals,Away,1,5,2,1,0,0,0,0,1,.400,.500,.600,1.100
Andres Gimenez,Seth Lugo,Royals,Away,2,5,0,0,0,0,0,0,2,.000,.000,.000,.000
Jose Ramirez,Seth Lugo,Royals,Away,3,7,1,0,0,0,1,0,2,.143,.143,.143,.286
Josh Naylor,Seth Lugo,Royals,Away,4,6,2,0,0,1,2,0,0,.333,.333,.833,1.167
Jhonkensy Noel,Seth Lugo,Royals,Away,5,3,0,0,0,0,0,0,2,.000,.000,.000,.000
Kyle Manzardo,Seth Lugo,Royals,Away,6,3,0,0,0,0,0,0,1,.000,.000,.000,.000
Lane Thomas,Seth Lugo,Royals,Away,7,7,1,0,0,1,2,0,2,.143,.143,.571,.714
Bo Naylor,Seth Lugo,Royals,Away,8,2,2,1,0,0,0,0,0,1.000,1.000,1.500,2.500
Brayan Rocchio,Seth Lugo,Royals,Away,9,2,0,0,0,0,0,0,2,.000,.000,.000,.000
Tommy Pham,Ben Lively,Guardians,Home,1,9,3,1,0,0,1,0,3,.333,.333,.444,.778
