Batter,Opposing Team,Batter Location,Batter Spot,AB,H,2B,3B,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Justin Turner,Athletics,Away,6,13,3,2,0,0,1,2,3,.231,.333,.385,.718
Luis Urias,Athletics,Away,7,6,1,0,0,0,0,1,4,.167,.286,.167,.452
Mitch Garver,Athletics,Away,8,16,3,0,0,2,3,4,2,.188,.350,.562,.912
Victor Robles,Athletics,Away,9,9,2,1,0,0,0,0,3,.222,.222,.333,.556
Lawrence Butler,Mariners,Home,1,24,8,1,0,2,4,3,5,.333,.407,.625,1.032
Brent Rooker,Mariners,Home,2,58,12,2,0,2,5,3,23,.207,.246,.345,.591
JJ Bleday,Mariners,Home,3,40,10,2,0,3,4,6,6,.250,.348,.525,.873
Shea Langeliers,Mariners,Home,4,61,13,3,1,4,11,1,25,.213,.226,.492,.718
Seth Brown,Mariners,Home,5,80,12,3,0,2,4,8,23,.150,.227,.263,.490
Zack Gelof,Mariners,Home,6,32,8,1,0,2,2,1,10,.250,.273,.469,.741
Tristan Gray,Mariners,Home,7,5,0,0,0,0,0,1,4,.000,.167,.000,.167
Max Schuemann,Mariners,Home,8,22,2,0,0,1,1,1,5,.091,.130,.227,.358
Jacob Wilson,Mariners,Home,9,3,0,0,0,0,0,0,0,.000,.000,.000,.000
Corbin Carroll,Giants,Away,1,53,13,3,0,1,3,2,16,.245,.273,.358,.631
Jake McCarthy,Giants,Away,2,41,9,1,0,0,1,3,12,.220,.273,.244,.517
Joc Pederson,Giants,Away,3,20,3,1,0,0,1,1,3,.150,.190,.200,.390
Christian Walker,Giants,Away,4,89,25,8,0,1,7,11,25,.281,.360,.404,.764
Pavin Smith,Giants,Away,5,26,4,0,0,1,2,2,9,.154,.207,.269,.476
Adrian Del Castillo,Giants,Away,6,4,1,0,0,0,0,0,2,.250,.250,.250,.500
Eugenio Suarez,Giants,Away,7,33,7,1,0,0,1,5,11,.212,.316,.242,.558
Luis Guillorme,Giants,Away,8,12,2,1,0,0,0,5,2,.167,.412,.250,.662
Geraldo Perdomo,Giants,Away,9,46,9,2,0,0,2,1,4,.196,.213,.239,.452
Mike Yastrzemski,Diamondbacks,Home,1,99,26,8,1,5,16,12,23,.263,.342,.515,.857
Tyler Fitzgerald,Diamondbacks,Home,2,8,1,1,0,0,0,0,3,.125,.125,.250,.375
Heliot Ramos,Diamondbacks,Home,3,11,5,1,0,2,5,1,2,.455,.500,1.091,1.591
Michael Conforto,Diamondbacks,Home,4,75,20,6,0,4,11,9,13,.267,.345,.507,.852
Matt Chapman,Diamondbacks,Home,5,70,19,10,0,1,8,7,18,.271,.338,.457,.795
LaMonte Wade Jr,Diamondbacks,Home,6,89,16,2,1,3,8,8,20,.180,.247,.326,.573
Patrick Bailey,Diamondbacks,Home,7,40,12,2,0,2,8,1,7,.300,.317,.500,.817
Marco Luciano,Diamondbacks,Home,8,4,1,0,0,0,1,0,1,.250,.250,.250,.500
Grant McCray,Diamondbacks,Home,9,2,1,0,1,0,0,0,1,.500,.500,1.500,2.000
