Batter,Opposing Team,Batter Location,Batter Spot,Batting Orientation,T Pitching Outs,Batter H/PA,Team H/PA,Against H/PA,Batter Team Matchup H/PA
Riley Greene,Padres,Away,2,Left,nan,0.21,0.23,0.13,0.21
Matt Vierling,Padres,Away,3,Right,nan,0.25,0.23,0.19,0.24
Kerry Carpenter,Padres,Away,4,Left,nan,0.25,0.23,0.29,0.24
Colt Keith,Padres,Away,5,Left,nan,0.24,0.23,0.14,0.23
Spencer Torkelson,Padres,Away,6,Right,nan,0.23,0.23,0.17,0.22
Jace Jung,Padres,Away,7,Left,nan,0.18,0.23,0.0,0.2
Trey Sweeney,Padres,Away,8,Left,nan,0.22,0.23,0.33,0.23
Dillon Dingler,Padres,Away,9,Right,nan,0.16,0.23,0,0.19
Fernando Tatis Jr,Tigers,Home,1,Right,nan,0.22,0.21,0.0,0.21
Luis Arraez,Tigers,Home,2,Left,nan,0.29,0.2,0.2,0.24
Jurickson Profar,Tigers,Home,3,Both,nan,0.2,0.21,0.2,0.2
Manny Machado,Tigers,Home,4,Right,nan,0.26,0.21,0.14,0.23
Jake Cronenworth,Tigers,Home,5,Left,nan,0.22,0.2,0.11,0.21
Xander Bogaerts,Tigers,Home,6,Right,nan,0.22,0.21,0.31,0.23
Jackson Merrill,Tigers,Home,7,Left,nan,0.26,0.2,0.67,0.23
Kyle Higashioka,Tigers,Home,8,Right,nan,0.24,0.21,0.17,0.22
Mason McCoy,Tigers,Home,9,Right,nan,0.28,0.21,0.67,0.25
JP Crawford,Athletics,Away,1,Left,3.17,0.19,0.22,0.16,0.2
Julio Rodriguez,Athletics,Away,2,Right,3.17,0.21,0.22,0.25,0.22
Cal Raleigh,Athletics,Away,3,Both,3.17,0.18,0.22,0.25,0.2
Randy Arozarena,Athletics,Away,4,Right,3.17,0.19,0.22,0.17,0.2
Jorge Polanco,Athletics,Away,5,Both,3.17,0.15,0.22,0.11,0.18
Justin Turner,Athletics,Away,6,Right,3.17,0.21,0.22,0.2,0.22
Luis Urias,Athletics,Away,7,Right,3.17,0.16,0.22,0.14,0.19
Mitch Garver,Athletics,Away,8,Right,3.17,0.15,0.22,0.15,0.18
Victor Robles,Athletics,Away,9,Right,3.17,0.29,0.22,0.22,0.26
Lawrence Butler,Mariners,Home,1,Left,3.17,0.28,0.2,0.3,0.25
Brent Rooker,Mariners,Home,2,Right,3.17,0.26,0.19,0.2,0.22
JJ Bleday,Mariners,Home,3,Left,3.17,0.22,0.2,0.22,0.21
Shea Langeliers,Mariners,Home,4,Right,3.17,0.19,0.19,0.21,0.19
Seth Brown,Mariners,Home,5,Left,3.17,0.24,0.2,0.14,0.2
Zack Gelof,Mariners,Home,6,Right,3.17,0.19,0.19,0.24,0.2
Tristan Gray,Mariners,Home,7,Left,3.17,0.0,0.2,0.0,0.1
Max Schuemann,Mariners,Home,8,Right,3.17,0.18,0.19,0.09,0.18
Jacob Wilson,Mariners,Home,9,Right,3.17,0.22,0.19,0.0,0.21
Corbin Carroll,Giants,Away,1,Left,nan,0.24,0.22,0.24,0.23
Jake McCarthy,Giants,Away,2,Left,nan,0.24,0.22,0.2,0.23
Joc Pederson,Giants,Away,3,Left,nan,0.19,0.22,0.14,0.2
Christian Walker,Giants,Away,4,Right,nan,0.23,0.22,0.25,0.23
Pavin Smith,Giants,Away,5,Left,nan,0.2,0.22,0.14,0.2
Adrian Del Castillo,Giants,Away,6,Left,nan,0.26,0.22,0.25,0.24
Eugenio Suarez,Giants,Away,7,Right,nan,0.22,0.22,0.18,0.22
Luis Guillorme,Giants,Away,8,Left,nan,0.16,0.22,0.12,0.19
Geraldo Perdomo,Giants,Away,9,Both,nan,0.25,0.22,0.19,0.23
Mike Yastrzemski,Diamondbacks,Home,1,Left,3.17,0.23,0.26,0.23,0.24
Tyler Fitzgerald,Diamondbacks,Home,2,Right,3.17,0.24,0.26,0.12,0.25
Heliot Ramos,Diamondbacks,Home,3,Right,3.17,0.25,0.26,0.42,0.26
Michael Conforto,Diamondbacks,Home,4,Left,3.17,0.16,0.26,0.24,0.22
Matt Chapman,Diamondbacks,Home,5,Right,3.17,0.22,0.26,0.25,0.24
LaMonte Wade Jr,Diamondbacks,Home,6,Left,3.17,0.21,0.26,0.16,0.21
Patrick Bailey,Diamondbacks,Home,7,Both,3.17,0.22,0.26,0.29,0.25
Marco Luciano,Diamondbacks,Home,8,Right,3.17,0.27,0.26,0.25,0.27
Grant McCray,Diamondbacks,Home,9,Left,3.17,0.17,0.26,0.5,0.22
