Batter,Opposing Pitcher,Throw,Batter Location,Batter Spot,B Against PA,B Against H,Season PA,Season H,Location IP,Location H,Location BB,Right PA,Right H,Left PA,Left H,Recent IP,Recent H,Recent BB
Jesse Winker,Tanner Houck,Right,Home,5,4,1,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Starling Marte,Tanner Houck,Right,Home,6,2,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Jose Iglesias,Tanner Houck,Right,Home,7,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Jeff McNeil,Tanner Houck,Right,Home,8,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Francisco Alvarez,Tanner Houck,Right,Home,9,0,0,684.0,146,70.0,60,21,321.0,77,363.0,69,6.0,7,4
Charlie Blackmon,Charlie Morton,Right,Away,1,19,4,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Ezequiel Tovar,Charlie Morton,Right,Away,2,6,1,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Ryan McMahon,Charlie Morton,Right,Away,3,13,3,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Brenton Doyle,Charlie Morton,Right,Away,4,4,1,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Brendan Rodgers,Charlie Morton,Right,Away,5,6,3,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Michael Toglia,Charlie Morton,Right,Away,6,2,0,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Nolan Jones,Charlie Morton,Right,Away,7,4,0,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Jordan Beck,Charlie Morton,Right,Away,8,0,0,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Drew Romo,Charlie Morton,Right,Away,9,0,0,579.0,128,71.1,70,29,257.0,66,322.0,62,6.1,5,0
Michael Harris II,Bradley Blalock,Right,Home,1,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Jorge Soler,Bradley Blalock,Right,Home,2,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Marcell Ozuna,Bradley Blalock,Right,Home,3,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Matt Olson,Bradley Blalock,Right,Home,4,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Travis d'Arnaud,Bradley Blalock,Right,Home,5,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Whit Merrifield,Bradley Blalock,Right,Home,6,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Jarred Kelenic,Bradley Blalock,Right,Home,7,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
Orlando Arcia,Bradley Blalock,Right,Home,8,0,0,101.0,26,12.0,11,5,37.0,11,64.0,15,6.2,6,4
